,v^0,v^1,v^2,v^3,v^4,v^5,v^6,v^7,v^8,v^9,v^10,v^11,v^12,v^13,v^14,v^15,v^16,v^17,v^18,v^19,v^20,v^21,v^22,v^23,v^24,v^25,v^26,v^27,v^28,v^29,v^30,v^31,v^32,v^33,v^34,v^35,v^36,v^37,v^38,v^39,v^40,v^41,v^42,v^43,v^44,v^45,v^46,v^47,v^48,v^49,v^50,v^51,v^52,v^53,v^54,v^55,v^56,v^57,v^58,v^59,v^60,v^61,v^62,v^63,v^64,v^65,v^66,v^67,v^68,v^69,v^70,v^71,v^72,v^73,v^74,v^75,v^76,v^77,v^78,v^79,v^80,v^81,v^82,v^83,v^84,v^85,v^86,v^87,v^88,v^89,v^90,v^91,v^92,v^93,v^94,v^95,v^96,v^97,v^98,v^99
1,0,0.0,-0.7952342475096008,-1.7670786051542002,-2.7513770951650467,-3.6925451851160376,-4.570130202319196,-5.377723701851124,-6.115237644811959,-6.785558234577731,-7.39293309796363,-7.942143180974983,-8.43806423138215,-8.885434195510056,-9.288734011138045,-9.652132379980234,-9.979466981170324,-10.274246312735338,-10.539662898635372,-10.77861237502562,-10.993715197279968,-11.187339045748635,-11.361620818681924,-11.518487595024231,-11.6596762513059,-11.786751599708428,-11.901123023687921,-12.004059651145928,-12.09670414035086,-12.180085171477483,-12.255128743559197,-12.322668377127654,-12.383454319543988,-12.438161844696824,-12.487398732405087,-12.531712006164177,-12.571594001199728,-12.6074878283685,-12.639792293393036,-12.668866325293251,-12.695032962703209,-12.718582942029668,-12.739777927102617,-12.758853416060871,-12.776021357679262,-12.791472506147691,-12.805378540427329,-12.817893971706955,-12.829157860136926,-12.839295359904895,-12.848419109813774,-12.856630484808313,-12.864020722353182,-12.870671936175938,-12.876658028637474,-12.882045511866549,-12.88689424678162,-12.891258108210979,-12.895185583501165,-12.898720311264782,-12.901901566253631,-12.904764695744632,-12.907341512287205,-12.90966064717596,-12.911747868576123,-12.913626367836457,-12.915317017170878,-12.916838601571934,-12.918208027532934,-12.91944051089787,-12.920549745926333,-12.921548057451963,-12.922446537825039,-12.923255170160813,-12.923982939263015,-12.924637931454999,-12.925227424427787,-12.925757968103294,-12.926235457411256,-12.926665197788418,-12.927051964127866,-12.927400053833368,-12.927713334568322,-12.92799528722978,-12.92824904462509,-12.928477426280871,-12.928682969771074,-12.928867958912257,-12.929034449139321,-12.929184290343679,-12.9293191474276,-12.92944051880313,-12.929549753041107,-12.929648063855286,-12.929736543588048,-12.929816175347533,-12.92988784393107,-12.929952345656252,-12.930010397208918,-12.930062643606316
2,0,-0.3010299956639812,-1.1103598471916114,-2.0736591623169813,-3.0511247300526567,-3.9880456805227884,-4.863058123278946,-5.669080824626796,-6.405623737247943,-7.075337459940301,-7.682329726195031,-8.23129696622564,-8.727063073793445,-9.174333780265396,-9.57756981192714,-9.940927092655372,-10.268235175259061,-10.56299736571944,-10.828402858701327,-11.06734514944928,-11.282443313534896,-11.476064140457055,-11.650343952487868,-11.807209455754736,-11.948397285254806,-12.075472096576556,-12.189843171593072,-12.292779572277228,-12.385423914092625,-12.468804849414013,-12.543848359215291,-12.611387952293857,-12.67217386838521,-12.726881376421696,-12.776118253000552,-12.820431519522831,-12.86031350985257,-12.896207333961273,-12.928511796995888,-12.957585827602067,-12.983752464170504,-13.007302442949713,-13.028497427666778,-13.047572916393596,-13.064740857861475,-13.080192006232023,-13.094098040448007,-13.106613471686234,-13.117877360089286,-13.128014859839745,-13.137138609737239,-13.145349984724373,-13.152740222264425,-13.15939143608405,-13.165377528543548,-13.1707650117713,-13.17561374668551,-13.179977608114307,-13.183905083404131,-13.187439811167511,-13.190621066156206,-13.193484195647105,-13.196061012189613,-13.198380147078325,-13.200467368478463,-13.202345867738778,-13.204036517073186,-13.205558101474235,-13.206927527435232,-13.208160010800164,-13.209269245828622,-13.210267557354252,-13.211166037727327,-13.211974670063102,-13.212702439165302,-13.213357431357288,-13.213946924330074,-13.214477468005583,-13.214954957313543,-13.215384697690705,-13.215771464030151,-13.216119553735656,-13.21643283447061,-13.216714787132068,-13.216968544527377,-13.217196926183158,-13.217402469673361,-13.217587458814544,-13.217753949041608,-13.217903790245966,-13.21803864732989,-13.218160018705417,-13.218269252943394,-13.218367563757573,-13.218456043490335,-13.21853567524982,-13.218607343833357,-13.21867184555854,-13.218729897111205,-13.218782143508603
3,0,-0.47712125471966244,-1.3178026218458134,-2.28392243862106,-3.259854561798157,-4.1951471920832235,-5.06899202071028,-5.874244452290947,-6.610290920612115,-7.279686561993903,-7.886475076797842,-8.435311597673369,-8.930993674153779,-9.378210258412942,-9.78141137214575,-10.144746092470307,-10.472039581380658,-10.766792322287591,-11.032191691663614,-11.271130011515273,-11.486225599266088,-11.679844753922497,-11.854123480121999,-12.010988278135919,-12.152175649462771,-12.279250163071493,-12.393621044608942,-12.496557319537999,-12.589201579608146,-12.672582461787703,-12.747625937039563,-12.815165507655033,-12.875951409140805,-12.930658907680334,-12.979895778083806,-13.02420904059045,-13.064091028308907,-13.099984850719522,-13.13228931264987,-13.161363342537937,-13.187529978639379,-13.211079957114894,-13.232274941634456,-13.251350430232835,-13.268518371617187,-13.283969519933414,-13.297875554114071,-13.310390985329326,-13.321654873717435,-13.33179237345818,-13.340916123349352,-13.349127498332379,-13.356517735869758,-13.363168949687644,-13.369155042146014,-13.374542525373029,-13.379391260286761,-13.383755121715247,-13.387682597004869,-13.391217324768117,-13.394398579756727,-13.397261709247571,-13.399838525790043,-13.402157660678732,-13.404244882078853,-13.406123381339158,-13.40781403067356,-13.409335615074605,-13.410705041035598,-13.411937524400528,-13.413046759428987,-13.414045070954616,-13.414943551327692,-13.415752183663464,-13.416479952765666,-13.417134944957649,-13.417724437930437,-13.418254981605944,-13.418732470913906,-13.419162211291068,-13.419548977630514,-13.419897067336018,-13.420210348070972,-13.420492300732429,-13.42074605812774,-13.420974439783521,-13.421179983273724,-13.421364972414906,-13.42153146264197,-13.421681303846329,-13.42181616093025,-13.42193753230578,-13.422046766543756,-13.422145077357936,-13.422233557090697,-13.422313188850183,-13.42238485743372,-13.422449359158902,-13.422507410711567,-13.422559657108966
4,0,-0.6020599913279624,-1.476303216359223,-2.4500156088315115,-3.427160115200886,-4.3622711787403,-5.235734661956313,-6.040663606581496,-6.776476923035911,-7.445713798687199,-8.052396781284225,-8.601163945957634,-9.096800697470021,-9.543987746603007,-9.947169642772282,-10.310491868090418,-10.637777235709024,-10.932524698770901,-11.19792063825807,-11.436856729057617,-11.65195086807463,-11.845569081081818,-12.01984719518202,-12.176711595286065,-12.317898707925872,-12.444973053349125,-12.559343825535546,-12.662280029363735,-12.754924243201971,-12.838305095319292,-12.913348551022748,-12.980888108926326,-13.041674002145703,-13.096381495309613,-13.145618362217293,-13.189931622450583,-13.229813608690643,-13.265707430139825,-13.29801189144493,-13.327085920926384,-13.353252556763392,-13.37680253506694,-13.397997519474666,-13.417073008000312,-13.434240949337365,-13.449692097622831,-13.463598131783485,-13.476113562985729,-13.487377451365377,-13.497514951100618,-13.506638700988214,-13.514850075968912,-13.522240313504778,-13.52889152732168,-13.53487761977941,-13.540265103006009,-13.545113837919471,-13.549477699347781,-13.553405174637286,-13.556939902400462,-13.560121157389021,-13.562984286879834,-13.565561103422286,-13.567880238310961,-13.569967459711075,-13.571845958971373,-13.573536608305771,-13.575058192706814,-13.576427618667807,-13.577660102032736,-13.578769337061194,-13.579767648586822,-13.580666128959898,-13.58147476129567,-13.582202530397872,-13.582857522589855,-13.58344701556264,-13.58397755923815,-13.584455048546108,-13.584884788923274,-13.585271555262722,-13.585619644968222,-13.585932925703176,-13.586214878364634,-13.586468635759946,-13.586697017415727,-13.58690256090593,-13.587087550047112,-13.587254040274177,-13.587403881478535,-13.587538738562454,-13.587660109937985,-13.587769344175962,-13.587867654990141,-13.587956134722903,-13.588035766482388,-13.588107435065925,-13.588171936791108,-13.588229988343771,-13.58828223474117
5,0,-0.6989700043360189,-1.6056425649717017,-2.5891693184754025,-3.5691417496902753,-4.5049996149106795,-5.378603237855803,-6.183508121743348,-6.919265033209221,-7.588449954134656,-8.195093123303067,-8.743831910559875,-9.239449142636689,-9.686623026791098,-10.089796147422254,-10.453112566284062,-10.780394110645748,-11.075139064607596,-11.340533361243432,-11.57946837814939,-11.794561816030761,-11.988179571679725,-12.162457387639348,-12.31932159349134,-12.460508579616361,-12.58758284266635,-12.701953561232468,-12.804889730163332,-12.897533921292895,-12.980914758634752,-13.055958204725398,-13.123497756375414,-13.184283645526811,-13.2389911360446,-13.288228001231117,-13.332541260344907,-13.372423245856831,-13.408317066832433,-13.440621527829528,-13.469695557110658,-13.495862192817382,-13.519412171036194,-13.540607155388814,-13.55968264387862,-13.576850585192366,-13.592301733462675,-13.606207767613467,-13.6187231988093,-13.629987087184778,-13.64012458691731,-13.649248336803142,-13.657459711782693,-13.664849949317814,-13.67150116313423,-13.677487255591643,-13.682874738818036,-13.687723473731367,-13.692087335159588,-13.69601481044904,-13.699549538212178,-13.702730793200715,-13.705593922691511,-13.708170739233953,-13.71048987412262,-13.71257709552273,-13.714455594783026,-13.716146244117423,-13.717667828518463,-13.719037254479456,-13.720269737844385,-13.721378972872843,-13.722377284398469,-13.723275764771543,-13.724084397107319,-13.724812166209519,-13.725467158401502,-13.72605665137429,-13.726587195049799,-13.727064684357757,-13.727494424734921,-13.727881191074369,-13.728229280779871,-13.728542561514823,-13.728824514176281,-13.729078271571595,-13.729306653227376,-13.729512196717577,-13.72969718585876,-13.729863676085822,-13.73001351729018,-13.730148374374103,-13.730269745749634,-13.730378979987611,-13.730477290801788,-13.73056577053455,-13.730645402294035,-13.73071707087757,-13.730781572602755,-13.730839624155418,-13.730891870552817
6,0,-0.7781512503836436,-1.715322324561637,-2.7097076011706163,-3.693516069246538,-4.630759253553775,-5.504877696653684,-6.309977822482791,-7.04580878597087,-7.715020797173121,-8.321672811309693,-8.870413551479633,-9.36603035236339,-9.813203172694704,-10.216375232223424,-10.579690783548669,-10.90697167704188,-11.201716164808527,-11.46711013677446,-11.706044931674692,-11.921138219643321,-12.114755874959364,-12.289033624203904,-12.445897785909114,-12.587084742928438,-12.714158986843335,-12.828529692856938,-12.931465853567566,-13.024110039321258,-13.10749087315119,-13.182534316949557,-13.250073867104401,-13.310859755281093,-13.365567245163755,-13.414804109936563,-13.459117368780957,-13.498999354117494,-13.534893174978938,-13.567197635901739,-13.596271665134523,-13.622438300809792,-13.64598827900814,-13.667183263347448,-13.686258751828595,-13.703426693136706,-13.71887784140335,-13.73278387555176,-13.745299306746043,-13.756563195120513,-13.766700694852387,-13.775824444737793,-13.784035819717067,-13.791426057252007,-13.798077271068307,-13.804063363525644,-13.80945084675199,-13.814299581665285,-13.818663443093486,-13.822590918382923,-13.826125646146053,-13.829306901134583,-13.832170030625376,-13.834746847167816,-13.837065982056483,-13.83915320345659,-13.841031702716885,-13.84272235205128,-13.844243936452322,-13.845613362413314,-13.846845845778242,-13.8479550808067,-13.848953392332328,-13.849851872705402,-13.850660505041176,-13.851388274143378,-13.852043266335361,-13.852632759308147,-13.853163302983656,-13.853640792291616,-13.854070532668779,-13.854457299008226,-13.854805388713729,-13.855118669448682,-13.855400622110139,-13.855654379505452,-13.855882761161233,-13.856088304651434,-13.856273293792619,-13.856439784019681,-13.85658962522404,-13.856724482307962,-13.856845853683492,-13.856955087921468,-13.857053398735646,-13.857141878468408,-13.857221510227893,-13.85729317881143,-13.857357680536614,-13.857415732089278,-13.857467978486676
7,0,-0.8450980400142568,-1.8107453560196376,-2.816433049964228,-3.8047250951141622,-4.743809914168031,-5.6187246206857315,-6.424188861873576,-7.16019556918612,-7.829496646003975,-8.436195757159272,-8.98496232065382,-9.480593718897957,-9.927775003364017,-10.330952075236118,-10.694270646765318,-11.021553386175182,-11.316299015339894,-11.581693699790735,-11.820628942877194,-12.035722514543997,-12.229340350351727,-12.403618214900186,-12.56048245051135,-12.70166945503025,-12.828743729540363,-12.943114455295985,-13.04605062876391,-13.138694822771082,-13.222075661945821,-13.297119109208088,-13.36465866160927,-13.425444551243466,-13.480152042072207,-13.529388907459339,-13.573702166702747,-13.61358415229851,-13.649477973328395,-13.681782434360663,-13.7108564636646,-13.737023099386118,-13.760573077614536,-13.78176806197339,-13.800843550467247,-13.818011491783622,-13.833462640055638,-13.847368674207543,-13.859884105404097,-13.871147993780045,-13.88128549351288,-13.89040924339891,-13.89862061837859,-13.906010855913795,-13.912662069730267,-13.918648162187715,-13.924035645414133,-13.928884380327476,-13.93324824175571,-13.937175717045166,-13.940710444808309,-13.943891699796847,-13.946754829287645,-13.949331645830089,-13.951650780718758,-13.953738002118866,-13.955616501379165,-13.95730715071356,-13.958828735114603,-13.960198161075594,-13.96143064444052,-13.96253987946898,-13.963538190994608,-13.964436671367682,-13.965245303703457,-13.965973072805657,-13.96662806499764,-13.967217557970427,-13.967748101645936,-13.968225590953894,-13.968655331331059,-13.969042097670506,-13.969390187376009,-13.969703468110962,-13.96998542077242,-13.970239178167732,-13.970467559823511,-13.970673103313715,-13.970858092454897,-13.971024582681961,-13.97117442388632,-13.97130928097024,-13.97143065234577,-13.971539886583747,-13.971638197397926,-13.971726677130688,-13.971806308890173,-13.97187797747371,-13.971942479198892,-13.972000530751558,-13.972052777148956
8,0,-0.9030899869919435,-1.895311331243751,-2.9124204134588263,-3.9056159200598817,-4.84687601963251,-5.722804254450276,-6.528766759461784,-7.2650312480403585,-7.934471805014829,-8.541249269178818,-9.090061207628324,-9.585719528668253,-10.03291709689407,-10.436104167428086,-10.799428951602327,-11.126715587357882,-11.421463678165205,-11.686859926874183,-11.925796168543144,-12.14089038000605,-12.334508626925153,-12.508786756253002,-12.665651162714306,-12.806838277639592,-12.93391262358196,-13.048283395598588,-13.151219599049554,-13.243863812501887,-13.327244664294039,-13.402288119746805,-13.469827677466592,-13.530613570555445,-13.585321063628637,-13.634557930474227,-13.678871190665491,-13.718753176877346,-13.754646998307722,-13.786951459600349,-13.816025489073557,-13.842192124905132,-13.865742103205108,-13.886937087610493,-13.906012576134607,-13.923180517470657,-13.938631665755468,-13.952537699915691,-13.965053131117658,-13.976317019497124,-13.986454519232248,-13.995578269119765,-14.003789644100413,-14.011179881636247,-14.017831095453127,-14.023817187910842,-14.029204671137432,-14.03405340605089,-14.038417267479195,-14.0423447427687,-14.045879470531872,-14.049060725520432,-14.051923855011243,-14.054500671553695,-14.05681980644237,-14.058907027842482,-14.06078552710278,-14.06247617643718,-14.063997760838221,-14.065367186799214,-14.066599670164143,-14.067708905192601,-14.068707216718229,-14.069605697091305,-14.070414329427079,-14.071142098529279,-14.071797090721262,-14.07238658369405,-14.072917127369559,-14.073394616677517,-14.07382435705468,-14.074211123394129,-14.074559213099631,-14.074872493834583,-14.075154446496041,-14.075408203891355,-14.075636585547134,-14.075842129037337,-14.07602711817852,-14.076193608405584,-14.076343449609942,-14.076478306693863,-14.076599678069394,-14.07670891230737,-14.076807223121548,-14.07689570285431,-14.076975334613795,-14.077047003197332,-14.077111504922515,-14.07716955647518,-14.077221802872577
9,0,-0.9542425094393249,-1.9713112802126562,-2.9997786446442443,-3.998147527361758,-4.941830162306247,-5.818942659272705,-6.625512207352365,-7.362102195284672,-8.0317242763004,-8.638606315727026,-9.187480089648485,-9.683175732050046,-10.130396189621278,-10.533597474318219,-10.896931171421034,-11.224223438408774,-11.518975108164977,-11.784373642078,-12.023311348232143,-12.238406500942496,-12.432025354210616,-12.606303874864512,-12.763168534251196,-12.904355812842091,-13.031430264791256,-13.145801105521294,-13.248737353539632,-13.341381595912697,-13.42476246647973,-13.499805934124856,-13.567345499764444,-13.628131397998883,-13.682838894415816,-13.732075763434572,-13.776389025038387,-13.816271012168484,-13.852164834195818,-13.88446929587656,-13.913543325602115,-13.93970996159777,-13.963259940004436,-13.984454924479197,-14.003530413048423,-14.02069835441381,-14.036149502717699,-14.050055536890328,-14.062570968100362,-14.073834856485075,-14.08397235622361,-14.093096106113347,-14.101307481095438,-14.10869771863221,-14.1153489324497,-14.121335024907813,-14.126722508134662,-14.131571243048286,-14.135935104476701,-14.139862579766275,-14.143397307529495,-14.146578562518085,-14.149441692008915,-14.152018508551379,-14.154337643440062,-14.15642486484018,-14.158303364100483,-14.159994013434883,-14.161515597835926,-14.16288502379692,-14.16411750716185,-14.16522674219031,-14.166225053715937,-14.167123534089013,-14.167932166424785,-14.168659935526987,-14.16931492771897,-14.169904420691756,-14.170434964367265,-14.170912453675225,-14.17134219405239,-14.171728960391835,-14.17207705009734,-14.172390330832293,-14.17267228349375,-14.172926040889061,-14.173154422544842,-14.173359966035045,-14.173544955176228,-14.173711445403292,-14.17386128660765,-14.173996143691571,-14.1741175150671,-14.174226749305078,-14.174325060119257,-14.174413539852019,-14.174493171611504,-14.17456484019504,-14.174629341920223,-14.174687393472889,-14.174739639870287
10,0,-1.0,-2.040368194192575,-3.080027345818087,-4.083737626480794,-5.030027235344997,-5.908459760421968,-6.7157258197474246,-7.452698107839934,-8.122537396652103,-8.72954642732416,-9.278496170614932,-9.774238088184587,-10.221487133154406,-10.624706272644525,-10.988051216563074,-11.31535061507611,-11.610106830367734,-11.875508273344817,-12.114447847223854,-12.329544202125156,-12.523163830762327,-12.69744285230413,-12.854307835679707,-12.995495324051959,-13.122569911946147,-13.236940840831743,-13.3398771460467,-13.432521425545973,-13.515902320220087,-13.590945803523109,-13.658485379335103,-13.719271284179467,-13.773978784892126,-13.823215656702985,-13.86752892012178,-13.907410908431785,-13.943304731226222,-13.975609193405715,-14.00468322345556,-14.030849859662078,-14.054399838205859,-14.075594822769782,-14.094670311396985,-14.111838252800075,-14.127289401128483,-14.141195435317059,-14.153710866537459,-14.164974754928917,-14.175112254671838,-14.184236004564424,-14.192447379548371,-14.199837617086349,-14.206488830904624,-14.212474923363246,-14.217862406590426,-14.222711141504266,-14.227075002932821,-14.231002478222488,-14.234537205985767,-14.237718460974394,-14.24058159046525,-14.243158407007732,-14.245477541896426,-14.24756476329655,-14.249443262556857,-14.25113391189126,-14.252655496292306,-14.254024922253299,-14.25525740561823,-14.25636664064669,-14.257364952172319,-14.258263432545395,-14.259072064881167,-14.259799833983369,-14.260454826175351,-14.261044319148139,-14.261574862823649,-14.262052352131608,-14.26248209250877,-14.262868858848218,-14.263216948553723,-14.263530229288675,-14.263812181950133,-14.264065939345443,-14.264294321001225,-14.264499864491428,-14.264684853632609,-14.264851343859673,-14.265001185064031,-14.265136042147953,-14.265257413523482,-14.265366647761459,-14.26546495857564,-14.265553438308402,-14.265633070067885,-14.265704738651422,-14.265769240376605,-14.26582729192927,-14.265879538326669
