,v^0,v^1,v^2,v^3,v^4,v^5,v^6,v^7,v^8,v^9,v^10,v^11,v^12,v^13,v^14,v^15,v^16,v^17,v^18,v^19,v^20,v^21,v^22,v^23,v^24,v^25,v^26,v^27,v^28,v^29,v^30,v^31,v^32,v^33,v^34,v^35,v^36,v^37,v^38,v^39,v^40,v^41,v^42,v^43,v^44,v^45,v^46,v^47,v^48,v^49,v^50,v^51,v^52,v^53,v^54,v^55,v^56,v^57,v^58,v^59,v^60,v^61,v^62,v^63,v^64,v^65,v^66,v^67,v^68,v^69,v^70,v^71,v^72,v^73,v^74,v^75,v^76,v^77,v^78,v^79,v^80,v^81,v^82,v^83,v^84,v^85,v^86,v^87,v^88,v^89,v^90,v^91,v^92,v^93,v^94,v^95,v^96,v^97,v^98,v^99,v^100,v^101,v^102,v^103,v^104,v^105,v^106
1,0,0.0,-1.8310945237539442,-4.068848854376772,-6.332243132318502,-8.446503684892429,-10.37829257899013,-12.130124359701181,-13.71274529268046,-15.139801222681648,-16.42534805119245,-17.58286109721154,-18.624844901216235,-19.562722779083103,-20.406850316779835,-21.166579769980878,-21.850341782116097,-22.465729537597912,-23.01957914190216,-23.518043951871174,-23.966662304285908,-24.370418809674266,-24.733799649750196,-25.060842395268182,-25.355180859930968,-25.620085474695312,-25.8584996262227,-26.073072361732816,-26.266187823281943,-26.439991738487485,-26.59641526208799,-26.737196433291615,-26.863899487359244,-26.977932236013665,-27.080561709800076,-27.172928236206864,-27.256058109972614,-27.330874996361672,-27.398210194111787,-27.458811872086887,-27.513353382264476,-27.56244074142431,-27.60661936466816,-27.646380125587626,-27.68216481041515,-27.714371026759917,-27.74335662147021,-27.769443656709473,-27.79292198842481,-27.81405248696861,-27.83306993565803,-27.850185639478514,-27.865589772916948,-27.879453493011535,-27.89193084109667,-27.903160454373285,-27.91326710632224,-27.9223630930763,-27.930549481154955,-27.937917230425743,-27.944548204769454,-27.950516081678792,-27.955887170897196,-27.96072115119376,-27.965071733460668,-27.968987257500885,-27.97251122913708,-27.975682803609654,-27.978537220634976,-27.98110619595776,-27.983418273748267,-27.98549914375973,-27.987371926770038,-27.989057431479317,-27.990574385717668,-27.991939644532188,-27.993168377465253,-27.99427423710501,-27.995269510780794,-27.996165257088997,-27.99697142876638,-27.99769698327603,-27.99834998233471,-27.998937681487522,-27.999466610725054,-27.999942647038832,-28.000371079721234,-28.000756669135395,-28.00110369960814,-28.00141602703361,-28.001697121716532,-28.00195010693116,-28.002177793624334,-28.002382711648185,-28.00256713786965,-28.00273312146897,-28.002882506708353,-28.003016953423806,-28.003137955467707,-28.00324685730722,-28.003344868962785,-28.00343307945279,-28.003512468893796,-28.0035839193907,-28.003648224837914,-28.003706099740405,-28.00375818715265
2,0,-0.6931471805599453,-2.5566980320025507,-4.774776675101602,-7.0226702551538915,-9.130972286327477,-11.060665074892947,-12.811676768308715,-14.393969030075624,-15.820892060805997,-17.106386085227232,-18.26387881743226,-19.305855173523657,-20.243730513123513,-21.08785728918518,-21.84758657309171,-22.531348586035634,-23.14673637516024,-23.70058600859109,-24.199050837366975,-24.647669200484785,-25.051425711530438,-25.414806554448408,-25.74184930133965,-26.03618776664491,-26.301092381701377,-26.539506533358065,-26.754079268923924,-26.94719473049642,-27.120998645711463,-27.2774221693157,-27.41820334052072,-27.54490639458884,-27.658939143243416,-27.76156861702987,-27.85393514343666,-27.937065017202407,-28.011881903591462,-28.079217101341577,-28.139818779316673,-28.19436028949426,-28.243447648654094,-28.287626271897945,-28.32738703281741,-28.36317171764493,-28.3953779339897,-28.424363528699992,-28.450450563939256,-28.473928895654595,-28.495059394198396,-28.51407684288782,-28.531192546708297,-28.54659668014673,-28.560460400241322,-28.572937748326453,-28.584167361603072,-28.594274013552024,-28.603370000306086,-28.61155638838474,-28.618924137655526,-28.625555111999237,-28.631522988908575,-28.636894078126982,-28.641728058423542,-28.64607864069045,-28.649994164730668,-28.653518136366863,-28.65668971083944,-28.65954412786476,-28.662113103187544,-28.664425180978053,-28.66650605098951,-28.668378833999824,-28.670064338709103,-28.671581292947455,-28.67294655176197,-28.674175284695036,-28.675281144334797,-28.676276418010577,-28.677172164318783,-28.677978335996166,-28.678703890505812,-28.679356889564495,-28.679944588717305,-28.680473517954837,-28.680949554268615,-28.681377986951016,-28.681763576365178,-28.682110606837924,-28.682422934263393,-28.682704028946315,-28.682957014160948,-28.683184700854117,-28.683389618877964,-28.683574045099434,-28.68374002869875,-28.68388941393814,-28.68402386065359,-28.68414486269749,-28.684253764537004,-28.684351776192567,-28.684439986682573,-28.68451937612358,-28.684590826620482,-28.684655132067697,-28.68471300697019,-28.68476509438243
3,0,-1.0986122886681098,-3.0343526725706393,-5.258925760723462,-7.503411079587383,-9.60996133011303,-11.539121291805776,-13.289992206557153,-14.872261195822357,-16.299189815405327,-17.584693171664366,-18.742193026611993,-19.784173823054097,-20.722051666919015,-21.56617976876796,-22.325909723138583,-23.009672063056662,-23.62506000681286,-24.178909711388286,-24.67737457206355,-25.125992949126477,-25.52974946611169,-25.89313031148936,-26.220173059367127,-26.514511525052992,-26.77941614024899,-27.017830291953164,-27.232403027533234,-27.425518489108878,-27.5993224043239,-27.75574592792751,-27.89652709913199,-28.02323015319976,-28.13726290185414,-28.239892375640483,-28.332258902047226,-28.415388775812946,-28.490205662201987,-28.557540859952095,-28.618142537927188,-28.672684048104777,-28.72177140726461,-28.76595003050846,-28.805710791427927,-28.84149547625545,-28.873701692600218,-28.90268728731051,-28.928774322549774,-28.95225265426511,-28.97338315280891,-28.992400601498336,-29.009516305318815,-29.02492043875725,-29.038784158851836,-29.05126150693697,-29.062491120213586,-29.072597772162542,-29.0816937589166,-29.089880146995256,-29.097247896266044,-29.103878870609755,-29.109846747519093,-29.115217836737497,-29.120051817034064,-29.124402399300973,-29.128317923341186,-29.13184189497738,-29.135013469449955,-29.137867886475277,-29.14043686179806,-29.142748939588568,-29.14482980960003,-29.14670259261034,-29.148388097319618,-29.149905051557973,-29.15127031037249,-29.152499043305554,-29.15360490294531,-29.154600176621095,-29.155495922929298,-29.156302094606684,-29.15702764911633,-29.15768064817501,-29.158268347327823,-29.158797276565355,-29.159273312879133,-29.159701745561534,-29.160087334975696,-29.16043436544844,-29.16074669287391,-29.161027787556833,-29.161280772771462,-29.161508459464635,-29.161713377488486,-29.16189780370995,-29.162063787309272,-29.162213172548658,-29.162347619264107,-29.16246862130801,-29.162577523147522,-29.162675534803085,-29.16276374529309,-29.162843134734096,-29.162914585231,-29.162978890678215,-29.163036765580706,-29.16308885299295
4,0,-1.3862943611198906,-3.39931377872791,-5.6413694184981695,-7.888721470245488,-9.996058145559614,-11.9256873450656,-13.67684868058548,-15.259286778165041,-16.686307887940615,-17.971859606536803,-19.12938387833696,-20.171376644027898,-21.10926020315119,-21.95339096831215,-22.713122135127904,-23.39688501439484,-24.01227319248343,-24.566122996359308,-25.06458789797096,-25.513206291379944,-25.916962814640982,-26.280343662305626,-26.60738641095477,-26.901724876867785,-27.16662949211169,-27.405043643813467,-27.619616379382173,-27.81273184094841,-27.986535756157455,-28.142959279757694,-28.283740450960405,-28.410443505027292,-28.524476253681247,-28.627105727467395,-28.71947225387404,-28.802602127639723,-28.87741901402875,-28.94475421177885,-29.005355889753943,-29.05989739993153,-29.10898475909136,-29.15316338233521,-29.19292414325468,-29.228708828082198,-29.26091504442697,-29.289900639137258,-29.315987674376522,-29.33946600609186,-29.360596504635666,-29.379613953325087,-29.396729657145567,-29.412133790584,-29.42599751067859,-29.43847485876372,-29.449704472040338,-29.459811123989294,-29.468907110743352,-29.477093498822008,-29.484461248092792,-29.491092222436503,-29.49706009934584,-29.50243118856425,-29.507265168860812,-29.51161575112772,-29.515531275167938,-29.519055246804133,-29.52222682127671,-29.525081238302025,-29.527650213624813,-29.52996229141532,-29.532043161426778,-29.53391594443709,-29.535601449146373,-29.537118403384724,-29.538483662199237,-29.5397123951323,-29.540818254772063,-29.541813528447843,-29.54270927475605,-29.543515446433435,-29.544241000943078,-29.54489400000176,-29.545481699154575,-29.546010628392104,-29.546486664705885,-29.546915097388283,-29.547300686802444,-29.54764771727519,-29.547960044700663,-29.548241139383585,-29.548494124598218,-29.548721811291383,-29.548926729315234,-29.5491111555367,-29.54927713913602,-29.54942652437541,-29.549560971090855,-29.54968197313476,-29.549790874974274,-29.549888886629837,-29.54997709711984,-29.550056486560845,-29.55012793705775,-29.550192242504963,-29.550250117407458,-29.550302204819697
5,0,-1.6094379124341003,-3.6971286347805634,-5.961782675959015,-8.215695462149423,-10.325520287353983,-12.256338927669642,-14.008106103475015,-15.590854454176782,-17.01803174095808,-18.303660402347358,-19.461221750780986,-20.503231996258418,-21.44112362017286,-22.285258026764385,-23.044990801965167,-23.728754375475443,-24.344142845876686,-24.89799276945001,-25.396457718494695,-25.845076129944506,-26.248832659695598,-26.61221350950508,-26.939256258760608,-27.233594724784965,-27.49849934000812,-27.736913491670297,-27.951486227208612,-28.144601688756115,-28.318405603954776,-28.474829127549622,-28.615610298749655,-28.742313352815266,-28.856346101468628,-28.95897557525451,-29.05134210166104,-29.134471975426674,-29.20928886181568,-29.27662405956577,-29.337225737540855,-29.391767247718445,-29.440854606878275,-29.485033230122124,-29.52479399104159,-29.560578675869113,-29.59278489221388,-29.621770486924174,-29.647857522163438,-29.671335853878773,-29.692466352422578,-29.711483801112,-29.72859950493248,-29.744003638370913,-29.757867358465504,-29.770344706550635,-29.78157431982725,-29.791680971776206,-29.800776958530268,-29.80896334660892,-29.816331095879708,-29.82296207022342,-29.828929947132757,-29.83430103635116,-29.839135016647727,-29.843485598914636,-29.84740112295485,-29.850925094591044,-29.854096669063622,-29.85695108608894,-29.85952006141173,-29.861832139202235,-29.863913009213693,-29.865785792224003,-29.86747129693328,-29.868988251171636,-29.870353509986153,-29.871582242919217,-29.872688102558975,-29.87368337623476,-29.874579122542965,-29.875385294220347,-29.876110848729994,-29.876763847788673,-29.877351546941487,-29.87788047617902,-29.878356512492797,-29.878784945175198,-29.87917053458936,-29.879517565062105,-29.879829892487574,-29.880110987170497,-29.88036397238513,-29.8805916590783,-29.88079657710215,-29.880981003323615,-29.881146986922936,-29.88129637216232,-29.88143081887777,-29.881551820921675,-29.88166072276119,-29.881758734416753,-29.881846944906755,-29.88192633434776,-29.881997784844664,-29.88206209029188,-29.88211996519437,-29.882172052606613
6,0,-1.791759469228055,-3.9496756142155194,-6.239332328828116,-8.502110946686297,-10.615620175612982,-12.548170030978048,-14.300787017328645,-15.883955840598071,-17.311339106442478,-18.597067025680936,-19.754675306929286,-20.79670730590862,-21.7346088079099,-22.57874760615523,-23.33848229102349,-24.02224667540086,-24.63763548112354,-25.191485539179062,-25.6899505401719,-26.138568970721153,-26.542325507007188,-26.905706358795307,-27.232749108504095,-27.52708757453894,-27.791992189683384,-28.03040634127514,-28.24497907676752,-28.438094538288755,-28.6118984534735,-28.76832197706134,-28.909103148257987,-29.03580620232201,-29.149838950974647,-29.252468424760213,-29.344834951166604,-29.42796482493218,-29.50278171132116,-29.570116909071245,-29.630718587046328,-29.685260097223914,-29.734347456383745,-29.778526079627593,-29.81828684054706,-29.854071525374582,-29.88627774171935,-29.915263336429643,-29.941350371668907,-29.964828703384242,-29.985959201928047,-30.00497665061747,-30.022092354437948,-30.037496487876382,-30.05136020797097,-30.063837556056104,-30.07506716933272,-30.08517382128168,-30.094269808035737,-30.10245619611439,-30.109823945385177,-30.116454919728888,-30.122422796638226,-30.12779388585663,-30.132627866153197,-30.136978448420106,-30.14089397246032,-30.144417944096514,-30.14758951856909,-30.15044393559441,-30.153012910917194,-30.1553249887077,-30.157405858719162,-30.159278641729472,-30.16096414643875,-30.162481100677105,-30.16384635949162,-30.165075092424686,-30.166180952064444,-30.167176225740228,-30.16807197204843,-30.168878143725813,-30.169603698235463,-30.170256697294143,-30.170844396446956,-30.17137332568449,-30.171849361998266,-30.172277794680667,-30.17266338409483,-30.173010414567575,-30.173322741993044,-30.173603836675966,-30.173856821890595,-30.174084508583768,-30.17428942660762,-30.174473852829085,-30.174639836428405,-30.17478922166779,-30.17492366838324,-30.175044670427145,-30.17515357226666,-30.17525158392222,-30.175339794412224,-30.17541918385323,-30.175490634350133,-30.175554939797347,-30.17561281469984,-30.175664902112082
7,0,-1.9459101490553132,-4.169395263979014,-6.485076756263386,-8.758201210278374,-10.876257342198661,-12.810954920459269,-14.564615150025205,-16.148292930012673,-17.575922257835792,-18.86176735174118,-20.019430437751016,-21.061487578348963,-21.999400382335917,-22.8435441542698,-23.60328097892265,-24.28704626138661,-24.902435433628114,-25.456285636368744,-25.954750692127178,-26.4033691422456,-26.807125684928234,-27.170506538483583,-27.497549288488667,-27.791887754438562,-28.056792369451784,-28.29520652094598,-28.50977925637903,-28.702894717867615,-28.876698633035485,-29.033122156614994,-29.173903327807672,-29.30060638186986,-29.414639130521675,-29.517268604306874,-29.609635130713116,-29.692765004478627,-29.76758189086758,-29.834917088617654,-29.895518766592737,-29.95006027677032,-29.999147635930147,-30.043326259174,-30.08308702009347,-30.118871704920988,-30.151077921265756,-30.18006351597605,-30.206150551215313,-30.229628882930648,-30.250759381474452,-30.269776830163874,-30.286892533984357,-30.302296667422787,-30.316160387517375,-30.32863773560251,-30.339867348879125,-30.349974000828084,-30.359069987582142,-30.367256375660794,-30.374624124931582,-30.381255099275293,-30.38722297618463,-30.39259406540304,-30.397428045699602,-30.401778627966507,-30.405694152006724,-30.409218123642923,-30.412389698115497,-30.415244115140815,-30.4178130904636,-30.42012516825411,-30.422206038265568,-30.424078821275877,-30.42576432598516,-30.42728128022351,-30.428646539038027,-30.429875271971092,-30.43098113161085,-30.431976405286633,-30.432872151594836,-30.433678323272222,-30.434403877781868,-30.435056876840548,-30.43564457599336,-30.436173505230894,-30.43664954154467,-30.437077974227076,-30.437463563641234,-30.43781059411398,-30.43812292153945,-30.438404016222375,-30.438657001437004,-30.43888468813017,-30.439089606154024,-30.43927403237549,-30.439440015974807,-30.439589401214196,-30.439723847929642,-30.439844849973547,-30.43995375181306,-30.440051763468624,-30.440139973958633,-30.44021936339964,-30.44029081389654,-30.440355119343753,-30.440412994246245,-30.44046508165849
8,0,-2.0794415416798357,-4.364115617904561,-6.706095828561848,-8.990524946135203,-11.113758342436892,-13.0509272375365,-14.80578569214422,-16.39004425028498,-17.817952248908362,-19.10392903443438,-20.261653250842002,-21.30373822385117,-22.241663443431317,-23.085812635284906,-23.845551771533756,-24.52931801481573,-25.14470757474818,-25.698557928396475,-26.197023040217505,-26.645641509823637,-27.04939805857982,-27.412778913637155,-27.73982166377057,-28.03416012954094,-28.299064744373307,-28.53747889574515,-28.752051631106923,-28.9451670925573,-29.118971007705778,-29.275394531275843,-29.416175702464074,-29.542878756524228,-29.656911505175138,-29.759540978959947,-29.85190750536602,-29.935037379131465,-30.009854265520392,-30.077189463270457,-30.137791141245533,-30.192332651423115,-30.241420010582946,-30.285598633826798,-30.32535939474626,-30.361144079573783,-30.39335029591855,-30.422335890628844,-30.44842292586811,-30.471901257583447,-30.49303175612725,-30.51204920481667,-30.52916490863715,-30.544569042075587,-30.558432762170174,-30.570910110255305,-30.582139723531924,-30.59224637548088,-30.601342362234938,-30.609528750313594,-30.616896499584378,-30.62352747392809,-30.629495350837427,-30.63486644005583,-30.639700420352394,-30.644051002619307,-30.64796652665952,-30.65149049829572,-30.654662072768293,-30.65751648979361,-30.6600854651164,-30.662397542906906,-30.664478412918363,-30.666351195928677,-30.668036700637956,-30.669553654876307,-30.670918913690823,-30.672147646623888,-30.673253506263645,-30.67424877993943,-30.675144526247635,-30.67595069792502,-30.676676252434664,-30.677329251493344,-30.677916950646157,-30.67844587988369,-30.678921916197467,-30.679350348879872,-30.679735938294034,-30.680082968766776,-30.680395296192245,-30.680676390875167,-30.6809293760898,-30.68115706278297,-30.68136198080682,-30.681546407028286,-30.681712390627606,-30.68186177586699,-30.68199622258244,-30.682117224626346,-30.68222612646586,-30.682324138121423,-30.682412348611425,-30.68249173805243,-30.682563188549334,-30.68262749399655,-30.68268536889904,-30.682737456311283
9,0,-2.1972245773362196,-4.539111967468671,-6.90724558943972,-9.203594783215141,-11.332468597698197,-13.27236111932858,-15.028542251084463,-16.613439949596557,-18.041653133196327,-19.327773332785338,-20.48556372342938,-21.527678636233496,-22.46561712284372,-23.309772064913567,-24.06951363425006,-24.75328087969892,-25.368670839625974,-25.92252134682959,-26.42098651461865,-26.86960500311346,-27.273361557439742,-27.63674241367729,-27.963785163756878,-28.25812362925176,-28.523028243855173,-28.761442395081463,-28.976015130361137,-29.169130591768376,-29.342934506895293,-29.49935803045498,-29.640139201638377,-29.766842255696336,-29.880875004346276,-29.98350447813067,-30.075871004536573,-30.159000878301942,-30.233817764690844,-30.3011529624409,-30.361754640415974,-30.416296150593553,-30.46538350975338,-30.50956213299723,-30.5493228939167,-30.58510757874422,-30.61731379508899,-30.646299389799285,-30.672386425038543,-30.69586475675388,-30.716995255297686,-30.736012703987107,-30.75312840780759,-30.76853254124602,-30.782396261340608,-30.794873609425743,-30.806103222702358,-30.816209874651317,-30.825305861405376,-30.833492249484028,-30.84085999875482,-30.847490973098527,-30.853458850007865,-30.858829939226272,-30.863663919522835,-30.86801450178974,-30.871930025829958,-30.875453997466153,-30.87862557193873,-30.88147998896405,-30.884048964286833,-30.886361042077343,-30.8884419120888,-30.89031469509911,-30.892000199808393,-30.893517154046744,-30.89488241286126,-30.896111145794325,-30.897217005434083,-30.898212279109867,-30.89910802541807,-30.899914197095452,-30.9006397516051,-30.90129275066378,-30.901880449816595,-30.902409379054127,-30.902885415367905,-30.90331384805031,-30.903699437464468,-30.90404646793721,-30.904358795362683,-30.90463989004561,-30.904892875260238,-30.905120561953403,-30.905325479977257,-30.905509906198724,-30.90567588979804,-30.90582527503743,-30.905959721752875,-30.90608072379678,-30.906189625636294,-30.906287637291857,-30.906375847781863,-30.906455237222872,-30.906526687719772,-30.906590993166986,-30.906648868069478,-30.906700955481725
10,0,-2.302585092994046,-4.698121388167003,-7.092025052494744,-9.400676384471257,-11.535530200501352,-13.478342679074153,-15.235946026980905,-16.821529988591728,-18.250069709304054,-19.53634265396985,-20.694203155990355,-21.736349608052624,-22.674301983047087,-23.51846290308741,-24.278206982150333,-24.961975251904565,-25.577365616095527,-26.13121627623318,-26.629681498609063,-27.0783000049081,-27.482056564128317,-27.84543742116822,-28.172480170996543,-28.46681863611756,-28.731723250444798,-28.970137401503564,-29.184710136691194,-29.377825598050926,-29.5516295131544,-29.70805303670292,-29.848834207881158,-29.975537261936804,-30.089570010585735,-30.192199484369695,-30.28456601077542,-30.36769588454072,-30.44251277092959,-30.509847968679633,-30.570449646654705,-30.624991156832287,-30.674078515992118,-30.71825713923597,-30.758017900155433,-30.793802584982956,-30.826008801327724,-30.854994396038016,-30.88108143127728,-30.90455976299262,-30.92569026153642,-30.944707710225842,-30.96182341404632,-30.977227547484755,-30.991091267579346,-31.003568615664477,-31.014798228941096,-31.02490488089005,-31.03400086764411,-31.042187255722766,-31.04955500499355,-31.05618597933726,-31.0621538562466,-31.067524945465003,-31.072358925761566,-31.076709508028475,-31.080625032068692,-31.084149003704887,-31.087320578177465,-31.090174995202783,-31.092743970525568,-31.095056048316078,-31.097136918327536,-31.09900970133785,-31.100695206047124,-31.102212160285475,-31.10357741909999,-31.104806152033056,-31.105912011672817,-31.106907285348598,-31.107803031656804,-31.108609203334193,-31.109334757843836,-31.109987756902516,-31.110575456055326,-31.11110438529286,-31.11158042160664,-31.11200885428904,-31.112394443703206,-31.112741474175948,-31.113053801601417,-31.11333489628434,-31.113587881498972,-31.11381556819214,-31.11402048621599,-31.114204912437458,-31.114370896036778,-31.114520281276164,-31.114654727991613,-31.114775730035518,-31.114884631875032,-31.114982643530592,-31.115070854020594,-31.1151502434616,-31.115221693958503,-31.115285999405717,-31.115343874308213,-31.11539596172046
