,v^0,v^1,v^2,v^3,v^4,v^5,v^6,v^7,v^8,v^9,v^10,v^11,v^12,v^13,v^14,v^15,v^16,v^17,v^18,v^19,v^20,v^21,v^22,v^23,v^24,v^25,v^26,v^27,v^28,v^29,v^30,v^31,v^32,v^33,v^34,v^35,v^36,v^37,v^38,v^39,v^40,v^41,v^42,v^43,v^44,v^45,v^46,v^47,v^48,v^49,v^50,v^51,v^52,v^53,v^54,v^55,v^56,v^57,v^58,v^59,v^60,v^61,v^62,v^63,v^64,v^65,v^66,v^67,v^68,v^69,v^70,v^71,v^72,v^73,v^74
1,0,0.0,-2.534521834657252,-5.732121895407535,-8.818750571209563,-11.57831493549121,-13.976128757991304,-16.035415867294095,-17.79579779834498,-19.298138705030066,-20.579601171504347,-21.672543437859122,-22.60466575207693,-23.399627318677744,-24.077610100118093,-24.655826419307243,-25.148938543426567,-25.56945587751854,-25.928056311764934,-26.233851720589367,-26.49461560880267,-26.716978409802365,-26.906594867155306,-27.068287268755768,-27.206167847047034,-27.323743272989294,-27.424003810450774,-27.509499358895024,-27.582403693644785,-27.644568213485957,-27.697573267478436,-27.742767468040306,-27.781301351552965,-27.814156243361253,-27.842169007635114,-27.866053242009674,-27.88641740073122,-27.903780272700722,-27.918584189817842,-27.9312062931996,-27.94196814054544,-27.951143898015367,-27.958967324871782,-27.96563772871612,-27.97132504302143,-27.976174156323655,-27.980308603367504,-27.983833712246664,-27.98683928771488,-27.989401899028337,-27.991586830604078,-27.993449745188734,-27.99503810190813,-27.996392365323562,-27.99754703629637,-27.99853153092293,-27.99937092993146,-28.000086617631993,-28.000696826697684,-28.001217102655442,-28.00166069991976,-28.002038919458816,-28.00236139669486,-28.002636346973816,-28.002870774857232,-28.003070652568702,-28.00324107214063,-28.003386375137577,-28.003510263260782,-28.003615892651695,-28.003705954297143,-28.00378274258412,-28.00384821375096,-28.003904035724005,-28.003951630609325
2,0,-0.6931471805599453,-3.4265024152298698,-6.668889868744586,-9.747812867015886,-12.482662718003192,-14.85210911347708,-16.884327351350755,-18.620541394794802,-20.101891338617136,-21.365331021371723,-22.442869245064575,-23.361846396826554,-24.14559577347026,-24.814016160495,-25.384077232447574,-25.870233964095696,-26.28481922079549,-26.638360500623925,-26.939841401808188,-27.19692595670483,-27.416151168474556,-27.60309205599006,-27.762502892872607,-27.898437898442257,-28.014354267246194,-28.113200070310185,-28.19748922691981,-28.269364823775064,-28.33065207131224,-28.382909031110426,-28.42746531864745,-28.46545526399561,-28.497846362932258,-28.525463679067105,-28.549010742889255,-28.56908742209988,-28.586205183066273,-28.600800113723803,-28.613244031225456,-28.623853953877692,-28.63290017744564,-28.64061316121569,-28.647189399167154,-28.652796425826075,-28.65757708434059,-28.661653165519045,-28.6651285105415,-28.668091656390605,-28.670618091396683,-28.672772178358645,-28.674608794233773,-28.67617472816881,-28.67750987348805,-28.678648244005227,-28.679618840550553,-28.680446389788337,-28.681151974147,-28.681753568909546,-28.682266500147154,-28.68270383516213,-28.683076715387237,-28.68339464022178,-28.683665709035875,-28.683896827507866,-28.684093883551654,-28.684261897315587,-28.684405149074465,-28.68452728827273,-28.68463142649669,-28.684720216744566,-28.6847959210136,-28.684860467925912,-28.684915501861852,-28.68496242485159
3,0,-1.150593043878592,-4.031976566087871,-7.314717837552829,-10.393319938306796,-13.113332809521383,-15.464099385148184,-17.47798425749637,-19.197661628773005,-20.664597450625536,-21.915648499845492,-22.982596546377277,-23.892536873566574,-24.668578682043048,-25.33042579808838,-25.894880933473047,-26.376256394074506,-26.786763659160624,-27.1368269054224,-27.435341617787476,-27.689896619309625,-27.90696470943282,-28.0920661102457,-28.249908341050716,-28.384505738748175,-28.499281482927067,-28.597154636631846,-28.680614382293854,-28.751782703698325,-28.81246678971044,-28.86420938251947,-28.908327045828084,-28.945942975043454,-28.978015162239714,-29.005360559802078,-29.028675777263633,-29.048554778605904,-29.0655039952561,-29.079955221709323,-29.09227661424306,-29.102782069765237,-29.111739222660688,-29.11937626307,-29.12588775025649,-29.13143956917133,-29.136173156504107,-29.140209103889873,-29.143650230070563,-29.14658420027866,-29.149085759573396,-29.151218637026563,-29.153037169267513,-29.154587684749092,-29.15590968399905,-29.15703684592534,-29.15799788581102,-29.158817286857417,-29.15951592391176,-29.160111595269324,-29.160619476098187,-29.161052505037798,-29.1614217138204,-29.16173650831262,-29.162004908136776,-29.16223375097673,-29.16242886677302,-29.162595226244683,-29.16273706752223,-29.16285800411702,-29.16296111697821,-29.163049032982155,-29.163123991853997,-29.163187903226355,-29.163242395288748,-29.163288856266707
4,0,-1.502586642729767,-4.50707562359938,-7.82723440729818,-10.908643287240107,-13.618397027186086,-15.955098328557908,-17.95486512925355,-19.66171316662887,-21.117441124301745,-22.358854912096355,-23.417565383716358,-24.32047729583875,-25.090524985053204,-25.747260282958273,-26.30735590254179,-26.785013064745574,-27.192348830574737,-27.539707074895077,-27.83591480934865,-28.088502400793754,-28.303892734270452,-28.487563422332606,-28.644185623912293,-28.77774265763253,-28.89163124734633,-28.988747894349075,-29.07156254123839,-29.142180755271344,-29.202395695787278,-29.25373819288816,-29.297514665749098,-29.33483965500099,-29.36666376404954,-29.393797637776714,-29.416932502908843,-29.436657731324754,-29.453475837913224,-29.4678152773474,-29.48004135812467,-29.4904655490249,-29.499353414151656,-29.506931378483454,-29.513392496274218,-29.518901369276282,-29.523598340099966,-29.52760306754747,-29.531017575009805,-29.53392884958785,-29.53641105815294,-29.5385274368027,-29.540331901847317,-29.54187042336737,-29.54318219633564,-29.544300639137905,-29.54525424493116,-29.546067307527704,-29.546760540298084,-29.547351603859454,-29.547855555992864,-29.54828523525135,-29.548651588031586,-29.548963947441344,-29.549230271067483,-29.549457343701206,-29.549650950185654,-29.549816022789106,-29.549956766858116,-29.550076767951857,-29.550179083186897,-29.550266319119466,-29.550340698149387,-29.55040411513747,-29.550458185678295,-29.550504287258903
5,0,-1.7925300357820275,-4.904339067021273,-8.259561313477597,-11.34534170341594,-14.047432368570497,-16.372772183854906,-18.360928320583003,-20.057169648898157,-21.50361974249275,-22.737055695070943,-23.788948736923864,-24.68604500301694,-25.451133334096816,-26.103639409855408,-26.660128246255283,-27.13470904682624,-27.53942074315017,-27.884540815070185,-28.178839664774653,-28.429799321257832,-28.643801384493162,-28.82628821705656,-28.98190089410259,-29.114597068825237,-29.22775157424108,-29.32424224271897,-29.40652309664607,-29.476686116655834,-29.536512842620834,-29.58752425064238,-29.631018371535415,-29.66810258899991,-29.69972139508615,-29.726680216394772,-29.749665825670583,-29.76926379472366,-29.785973397271704,-29.80022032403261,-29.81236752673651,-29.822724464689898,-29.831554988671176,-29.839084062845718,-29.845503495951657,-29.85097682779206,-29.85564349553944,-29.859622386002687,-29.863014864356497,-29.8659073564939,-29.86837355078973,-29.870476275366226,-29.872269098686004,-29.873797694248108,-29.875101004154125,-29.876212231187154,-29.877159684677082,-29.877967501701793,-29.878656261996987,-29.879243512240176,-29.879744213065365,-29.880171120196046,-29.880535109406914,-29.88084545359211,-29.881110058999134,-29.881335666646248,-29.88152802405497,-29.88169203167254,-29.88183186771413,-29.88195109460629,-29.88205274974222,-29.88213942286157,-29.882213322026182,-29.88227632987186,-29.882330051570072,-29.882375855720728
6,0,-2.0409210402228544,-5.248824785349956,-8.63713108517351,-11.728121694347234,-14.424187873286414,-16.739936947330886,-18.718152489216063,-20.40528053541107,-21.84375540686952,-23.070335945658524,-24.116373018207437,-25.008474971540345,-25.76930478543456,-26.418179424029304,-26.97157130099506,-27.443510513475633,-27.845968898904232,-28.189166965681352,-28.48182654449949,-28.731388180375014,-28.944198032664332,-29.125668198125567,-29.280413918841887,-29.41237080774489,-29.524894898601772,-29.62084799130922,-29.702670436309987,-29.772442544043606,-29.831935866505816,-29.882662920063012,-29.925914537009763,-29.962791958781203,-29.994234431201203,-30.02104290025006,-30.04390031370426,-30.063388979683218,-30.0800053881097,-30.094172855744283,-30.106252310084823,-30.11655148449713,-30.12533275818266,-30.132819840613454,-30.139203470754254,-30.14464627630001,-30.149286916742923,-30.153243615826998,-30.156617173385126,-30.159493533289062,-30.161945972933104,-30.164036970029574,-30.16581979427486,-30.16733986443416,-30.168635905418217,-30.169740934828912,-30.170683104107088,-30.171486415711477,-30.172171334598854,-30.172755309584048,-30.17325321786141,-30.173677744012245,-30.17403970315401,-30.174348316463348,-30.174611446092356,-30.17483579546284,-30.175027080040785,-30.175190172942234,-30.17532922907933,-30.175447791009915,-30.175548879186863,-30.17563506890614,-30.175708555914543,-30.175771212347925,-30.175824634425247,-30.175870183113435
7,0,-2.259265620963159,-5.554728947261474,-8.97441426509131,-12.071066333151554,-14.762210820185157,-17.069611693890597,-19.039080714992284,-20.71817363689439,-22.149618321926923,-23.370159601329078,-24.41104048516449,-25.29874610584483,-26.055827691867368,-26.701506144365037,-27.252172262047814,-27.72178643469045,-28.122261443356994,-28.463767690525284,-28.75498429018352,-29.003315294332833,-29.2150756768552,-29.395650897224243,-29.549633458995803,-29.680939574030837,-29.792908727627402,-29.88838860666617,-29.969807526497274,-30.039235522466107,-30.098435345950048,-30.148912069049523,-30.1919501922199,-30.22864555356904,-30.25993278259582,-30.286608881685513,-30.30935343155642,-30.328745867111785,-30.345280227448622,-30.35937773929253,-30.371397548000935,-30.38164586741754,-30.390383781165816,-30.3978338940855,-30.404186003312972,-30.40960193352358,-30.414219659540134,-30.418156821344613,-30.42151372104327,-30.4243758781366,-30.426816208191784,-30.428896880420456,-30.43067090148536,-30.432183465884147,-30.43347310731276,-30.434572680339677,-30.4355101974004,-30.436309542434888,-30.436991079348665,-30.4375721707983,-30.438067620517884,-30.438490050455208,-30.438850222325105,-30.43915731177216,-30.43941914212695,-30.439642383711295,-30.43983272376953,-30.439995011355332,-30.44013338086486,-30.44025135736361,-30.440351946390148,-30.440437710524208,-30.440510834670494,-30.44057318172069,-30.44062634001196,-30.440671663791072
8,0,-2.454741400389067,-5.830983463522723,-9.280554510331259,-12.383092772732049,-15.070088268962511,-17.37005425618316,-19.331672966551736,-21.003548606152965,-22.428683752946682,-23.64380963647502,-24.68006975417929,-25.563836706158607,-26.317560630717367,-26.960376023589237,-27.50860047944752,-27.97613187399975,-28.37483008676588,-28.714820672869653,-29.00474451277931,-29.251972985919053,-29.462793137187525,-29.642566565481648,-29.795865403888254,-29.92658848284637,-30.038060461640967,-30.13311638306506,-30.214173780043765,-30.283293480332578,-30.34223034269126,-30.392482772444495,-30.43532960186959,-30.471861831444432,-30.503009956439485,-30.529567446597365,-30.55221086597126,-30.571517075041875,-30.58797791687584,-30.60201274543239,-30.613979109189103,-30.624181860430255,-30.63288092188572,-30.640297908598384,-30.646621773787274,-30.652013622588935,-30.656610816334194,-30.660530471930223,-30.663872445499642,-30.66672187628876,-30.669151355652755,-30.671222776373973,-30.672988909426063,-30.67449474835381,-30.675778655516748,-30.67687333939875,-30.677806687880686,-30.678602478704924,-30.679280985230854,-30.67985949291364,-30.680352739664052,-30.680773291307606,-30.68113186170815,-30.681437585711716,-30.681698251863217,-30.68192050082549,-30.682109994555127,-30.682271560544866,-30.68240931480779,-30.68252676673549,-30.68262690850265,-30.6827122912948,-30.682785090301643,-30.682847160131715,-30.682900082059806,-30.68294520431111
9,0,-2.6321594605105605,-6.083622793322987,-9.561754801729144,-12.670262765644265,-15.35366421236102,-17.646888992871638,-19.601354183099946,-21.26665582313119,-22.68605146253949,-23.896256651442357,-24.928320976470285,-25.808512605238572,-26.55918894746477,-27.199405746672568,-27.745414075919186,-28.21105500791521,-28.608140409885387,-28.946755168102467,-29.235505490666018,-29.4817331178926,-29.691699750731132,-29.87074533146633,-30.023423502310244,-30.153617315373673,-30.264637971163598,-30.359309034399647,-30.44003824994198,-30.508878085184804,-30.567576226452832,-30.617625029819703,-30.660298186580267,-30.696682308814555,-30.727704140284672,-30.754153944273128,-30.776705546268754,-30.795933469478772,-30.81232756317322,-30.82630548099719,-30.83822332159736,-30.84838470108095,-30.857048488190166,-30.864435399321547,-30.870733621493777,-30.87610360656767,-30.880682158879182,-30.884585920431064,-30.887914342433447,-30.890752218896523,-30.893171846820437,-30.89523486801477,-30.896993839469083,-30.898493572281176,-30.89977227325272,-30.900862518236046,-30.901792082027814,-30.902584645952615,-30.903260401162157,-30.90383656301978,-30.904327809674662,-30.904746655998355,-30.90510377241055,-30.905408256715678,-30.905667865876527,-30.905889213628292,-30.906077938968533,-30.906238849814784,-30.906376045489747,-30.906493021154663,-30.906592756851026,-30.906677793419398,-30.90675029722924,-30.906812115368684,-30.906864822700495,-30.906909761982924
10,0,-2.7949178322091255,-6.316940296264834,-9.82244560097173,-12.936914341611827,-15.617125417067504,-17.904148523639957,-19.852016611782,-21.511264491918098,-22.92538437948366,-24.131072366353568,-25.15928783609931,-26.036200825861304,-26.784082769288627,-27.4219169018468,-27.965893238603236,-28.429800713006852,-28.82540717486169,-29.16276025685558,-29.450434404168746,-29.695744195137003,-29.904928097070563,-30.083306194670108,-30.235415173522988,-30.36512361600539,-30.475730379946192,-30.570048503851236,-30.650476756257287,-30.719059935679436,-30.777539143348484,-30.827401190559986,-30.86991505837897,-30.90616333739381,-30.93706933232009,-30.96342036622865,-30.985887753031577,-31.00504387222793,-31.02137674436325,-31.035302463535547,-31.047175798593493,-31.057299231815442,-31.065930665221945,-31.073289990968654,-31.079564693313582,-31.08491462493163,-31.08947607928191,-31.09336526278397,-31.09668125526133,-31.09950853407286,-31.101919126235735,-31.103974443366834,-31.105726846189,-31.107220978459292,-31.108494904301462,-31.10958107791785,-31.110507170384032,-31.111296774590027,-31.111970006286523,-31.11254401654854,-31.113033428711713,-31.113450710912574,-31.113806493723605,-31.114109840974827,-31.114368480661664,-31.114589001821308,-31.11477702239324,-31.114937332340503,-31.11507401567748,-31.11519055451318,-31.115289917760563,-31.115374636771815,-31.115446869826354,-31.11550845711461,-31.1155609676183,-31.115605739081264
