,v^0,v^1,v^2,v^3,v^4,v^5,v^6,v^7,v^8,v^9,v^10,v^11,v^12,v^13,v^14,v^15,v^16,v^17,v^18,v^19,v^20,v^21,v^22,v^23,v^24,v^25,v^26,v^27,v^28,v^29,v^30,v^31,v^32,v^33,v^34,v^35,v^36,v^37,v^38,v^39,v^40,v^41,v^42,v^43,v^44,v^45,v^46,v^47,v^48,v^49,v^50,v^51,v^52,v^53,v^54,v^55,v^56,v^57,v^58,v^59,v^60,v^61,v^62
1,0,0.0,-1.1007583466394295,-2.5262988194357026,-3.968411247598547,-5.303294032650361,-6.48713857908264,-7.51246904475681,-8.388094144896062,-9.129393850274326,-9.753545274843352,-10.277238100949953,-10.715672965060342,-11.08221790228042,-11.388391501607346,-11.643996621913445,-11.85731242553054,-12.035298055542375,-12.18378581657199,-12.307654662945728,-12.410981399873542,-12.497170184978373,-12.569062295518101,-12.62902858363209,-12.679047051574424,-12.720767789727962,-12.755567258800484,-12.784593625645249,-12.808804607467106,-12.828999052478807,-12.84584328872236,-12.85989310531613,-12.871612088863754,-12.8813869187846,-12.889540125622405,-12.896340732995604,-12.902013134178082,-12.906744496126933,-12.910690935224018,-12.913982668487778,-12.916728310216454,-12.919018455830308,-12.920928671163702,-12.922521985840644,-12.923850973005065,-12.924959484028362,-12.925884095432915,-12.926655315773928,-12.92729859230225,-12.927835150624018,-12.928282695062506,-12.928655992831448,-12.928967361295236,-12.929227074393774,-12.92944370164216,-12.92962439089123,-12.929775104178555,-12.929900814452365,-12.930005669659383,-12.930093129610782,-12.930166080142435,-12.9302269283362,-12.930277681944164
2,0,-0.3010299956639812,-1.4881406551655485,-2.93325329958762,-4.372225769684996,-5.696191115520001,-6.867001445178208,-7.879470964256601,-8.74332223777423,-9.474240434900013,-10.08942994806551,-10.605484372531194,-11.037460361591771,-11.398571163706846,-11.700187370104404,-11.951978144177776,-12.162105606830158,-12.337428321685932,-12.483693133171439,-12.6057068895733,-12.70748582297225,-12.792383344700136,-12.863198290317397,-12.922266053001893,-12.971535029043,-13.012630599489759,-13.046908607430709,-13.075500018755687,-13.099348201429873,-13.119240033998713,-13.135831860114182,-13.149671140663022,-13.161214515539033,-13.170842869839646,-13.178873901024518,-13.18557260141257,-13.191160001755405,-13.195820464319835,-13.199707766087881,-13.202950172778847,-13.205654671107757,-13.207910498924104,-13.209792089709437,-13.21136152858988,-13.212670600901559,-13.213762500903806,-13.21467325702032,-13.215432920636072,-13.216066557675264,-13.216595075678615,-13.217035913670399,-13.217403617577856,-13.217710320189887,-13.217966141491521,-13.218179522583858,-13.218357504207225,-13.218505959058199,-13.218629785565437,-13.218733069518745,-13.218819218884095,-13.218891076253128,-13.218951012637607,-13.219001005703516
3,0,-0.4996962098727386,-1.7510948878162218,-3.2139615409943563,-4.653323207690687,-5.971133953957398,-7.133647415642383,-8.137566524652847,-8.99341977905274,-9.717199785196238,-10.326182352508765,-10.836922758702507,-11.264392725998084,-11.621705736755327,-11.920133364084874,-12.16925358506629,-12.377147820912358,-12.550604838894449,-12.695311947932986,-12.81602564440364,-12.916719800269147,-13.000712307171112,-13.070772277544327,-13.129210263404605,-13.177953916086096,-13.21861130065763,-13.252523810592105,-13.280810356158602,-13.30440424812275,-13.324083975511499,-13.34049888387054,-13.354190596757489,-13.365610885041564,-13.375136572508964,-13.383081969047598,-13.389709241384052,-13.395237063431633,-13.399847831610543,-13.403693683184526,-13.406901516179746,-13.409577176515118,-13.411808950499507,-13.413670477932332,-13.415223181927681,-13.416518295636074,-13.417598552737568,-13.418499597485797,-13.419251160828573,-13.419878041412835,-13.42040092384274,-13.420837061190722,-13.421200844281172,-13.4215042765314,-13.421757370017279,-13.421968475832672,-13.422144559642733,-13.422291431523561,-13.422413937672045,-13.422516120311311,-13.422601351068243,-13.422672442224066,-13.422731739508478,-13.422781199499644
4,0,-0.6525650875190707,-1.95742798054229,-3.436829143141666,-4.878105225790512,-6.191988410822139,-7.348470430844593,-8.345920645205892,-9.195608237451301,-9.913828377925993,-10.51794691259404,-11.024507513569478,-11.448425023055448,-11.802739609242451,-12.098647526570726,-12.34565621248125,-12.551784081301049,-12.723765113156388,-12.867239734125857,-12.986924712575796,-13.086760458522557,-13.170036784983486,-13.239499297717506,-13.297438897775699,-13.345766823261433,-13.386077437666621,-13.419700700287363,-13.44774598128631,-13.471138632590794,-13.490650504039424,-13.506925403066903,-13.520500333707282,-13.53182321358952,-13.541267652461467,-13.549145279353944,-13.555716024874554,-13.56119669777992,-13.56576813875656,-13.569581187426277,-13.57276165944864,-13.575414497938018,-13.577627236171951,-13.579472885844716,-13.581012346166561,-13.582296413298687,-13.583367456427387,-13.58426081578128,-13.585005968720289,-13.585627502373107,-13.58614592491612,-13.586578342262952,-13.586939022492517,-13.587239866639875,-13.587490801383646,-13.58770010658765,-13.587874688503913,-13.588020307651927,-13.588141768893319,-13.588243079973328,-13.588327583760858,-13.58839806854994,-13.588456860062564,-13.58850589818839
5,0,-0.7784859031859732,-2.1299575237581356,-3.6249075314114307,-5.068887134120554,-6.3801218330395235,-7.531907124954998,-8.524127914922984,-9.36874682307109,-10.082354855580057,-10.6824172298759,-11.18548113690888,-11.60642092949161,-11.958219129547844,-12.252010811918316,-12.49724524453835,-12.701888463239358,-12.872628692561383,-13.015067097623938,-13.13388712309601,-13.233001083510816,-13.315675202265526,-13.384635329367363,-13.442155846967252,-13.490134194142108,-13.530153214205532,-13.563533252233647,-13.59137565653769,-13.614599086699592,-13.633969809810326,-13.650126976401259,-13.663603706014028,-13.674844676135326,-13.684220793864501,-13.692041433928201,-13.698564646604702,-13.704005672259212,-13.708544043377355,-13.712329508406643,-13.71548697285526,-13.718120620678155,-13.72031735193618,-13.722149650156215,-13.723677974002879,-13.724952752177325,-13.726016047366654,-13.726902944147811,-13.727642706641142,-13.728259744111737,-13.728774416379599,-13.729203705613928,-13.729561776678212,-13.729860444515221,-13.730109563993924,-13.730317355081473,-13.730490674069967,-13.730635239807256,-13.730755822396485,-13.73085640059089,-13.730940293076952,-13.731010267978187,-13.731068634192273,-13.7311173175757
6,0,-0.8863607457690303,-2.2795660130066313,-3.789232909899235,-5.236362667318508,-6.545770206802408,-7.6937392356440935,-8.681557294208453,-9.521843259934505,-10.23147685700764,-10.82802767430691,-11.328055952633619,-11.746406259798027,-12.096013857289782,-12.387962086165489,-12.631650346835665,-12.834999450046324,-13.004657954534592,-13.14619290981864,-13.2642587635956,-13.362743362273132,-13.444892374848637,-13.513414432260458,-13.570569516187916,-13.61824303498585,-13.658007787407419,-13.691175735464501,-13.718841232697986,-13.741917103120727,-13.761164745758185,-13.777219250377673,-13.79061034928011,-13.801779894573924,-13.811096436668137,-13.818867384550986,-13.82534914886532,-13.830755602348637,-13.83526513674317,-13.839026548998902,-13.84216395097743,-13.844780864651055,-13.846963637919437,-13.848784293750533,-13.85030290665577,-13.851569584913284,-13.85262612394464,-13.85350738540005,-13.854242447456189,-13.854855564282119,-13.855366966331907,-13.855793527870372,-13.856149323757737,-13.856446093864836,-13.856693630442992,-13.8569001012298,-13.857072318952643,-13.857215966121904,-13.857335782531608,-13.857435721654017,-13.857519081088785,-13.857588611370781,-13.857646606727009,-13.857694980777127
7,0,-0.9811865923380239,-2.4124187619782957,-3.9360848908630546,-5.386628458160589,-6.694774295166074,-7.839550547599354,-8.823557925714269,-9.66004088391233,-10.366160847425869,-10.959594446406841,-11.456921376491424,-11.872963910742989,-12.220617435993654,-12.510920333242467,-12.753228118036875,-12.955421546714096,-13.124113922657395,-13.264841910954877,-13.38223410244123,-13.480156509336085,-13.561836450951908,-13.629967182142872,-13.686795823433703,-13.73419703747154,-13.77373465082583,-13.80671313719168,-13.834220601789406,-13.857164655748045,-13.876302349445593,-13.892265145150429,-13.905579749318887,-13.916685490126675,-13.925948812730988,-13.933675370108118,-13.9401201081993,-13.945495678027216,-13.94997945229715,-13.953719377977183,-13.95683885795671,-13.959440822852592,-13.96161112731353,-13.963421382885736,-13.964931320912862,-13.96619076343606,-13.967241267126028,-13.968117494490329,-13.96884835760035,-13.969457972076363,-13.969966452808658,-13.970390577669976,-13.970744341119731,-13.971039415966306,-13.971285538524045,-13.971490829873417,-13.971662063824988,-13.97180489042853,-13.971924022402616,-13.972023390635812,-13.972106273890676,-13.97217540699002,-13.972233071055351,-13.97228116877501
8,0,-1.066080644688433,-2.5323948478378036,-4.069431675166274,-5.523545754290559,-6.8308380221404,-7.972884959507331,-8.953526854834346,-9.786607630845461,-10.489563671084444,-11.080179946318518,-11.5750600905591,-11.989009572596506,-12.334889414339571,-12.62369813529629,-12.864751892783218,-13.065895313652558,-13.233709800718641,-13.373704476537364,-13.490484468864006,-13.58789596476914,-13.66914961613113,-13.736924708280938,-13.793456675558923,-13.840610415850769,-13.879941602211565,-13.91274790310691,-13.9401117453189,-13.962936002492059,-13.981973772918188,-13.997853222154184,-14.011098306729588,-14.022146061034771,-14.031361016943237,-14.039047231541366,-14.045458319627302,-14.050805821910574,-14.05526618497997,-14.05898658332691,-14.062089775515897,-14.06467815473081,-14.066837127346213,-14.068637931001886,-14.070139985165286,-14.07139285174096,-14.072437870419082,-14.073309522723337,-14.074036569766008,-14.074643001252145,-14.075148827045787,-14.07557073741714,-14.075922653756097,-14.07621618792363,-14.076461025397679,-14.076665244856013,-14.076835584740993,-14.07697766560169,-14.077096175550079,-14.077195024950324,-14.077277475445515,-14.077346247579083,-14.077403610562106,-14.07745145714837
9,0,-1.1431323291891768,-2.6421150014155432,-4.191965459269285,-5.649740218307604,-6.956483597404476,-8.096158057330706,-9.073781313139119,-9.903774053212013,-10.603841205480444,-11.191876523375148,-11.684510800033662,-12.096536859183574,-12.44078561211526,-12.72821969153039,-12.968119444904282,-13.168296456865313,-13.335302874234687,-13.47462252047042,-13.590838951662478,-13.687780118080974,-13.76864133465946,-13.836089029917375,-13.892347881652606,-13.939273799190842,-13.978414949905158,-14.011062737593534,-14.038294361586606,-14.061008334265201,-14.079954115667347,-14.095756836419689,-14.108937921483824,-14.119932293601407,-14.129102723284516,-14.136751798448973,-14.143131908447188,-14.148453571838086,-14.152892382630649,-14.156594804176748,-14.159683001877493,-14.162258874157642,-14.164407414712008,-14.166199516963337,-14.167694313266813,-14.16894112604606,-14.169981095239692,-14.170848535758163,-14.171572069741371,-14.172175570977123,-14.172678952642688,-14.17309882436158,-14.173449040256202,-14.173741156079487,-14.173984810509573,-14.174188043188428,-14.174357559998546,-14.174498954330742,-14.174616891644245,-14.17471526340853,-14.174797315506527,-14.174865755336164,-14.174922841143763,-14.174970456537409
10,0,-1.2138173919014217,-2.7434438041351674,-4.30560931404104,-5.76709162436795,-7.07351927897643,-8.21110338950413,-9.185985570717047,-10.013143217347011,-10.7105437232302,-11.29618950608461,-11.78674086668486,-12.196981210947818,-12.539714710276167,-12.825871292208177,-13.064698351517928,-13.263976925466746,-13.430232046932735,-13.568924060113753,-13.684616485192695,-13.781120326115207,-13.861616642270066,-13.928759909983718,-13.98476480641491,-14.031478883529203,-14.070443329860291,-14.102943724160758,-14.130052405091373,-14.152663829748722,-14.171524075158374,-14.187255449925601,-14.200377025037438,-14.211321759720894,-14.2204507866868,-14.228065327743092,-14.234416632761475,-14.239714269854046,-14.244133040258404,-14.247818746073266,-14.250893001146592,-14.253457243851317,-14.255596084152007,-14.257380095401025,-14.258868142982234,-14.260109326637842,-14.26114460056748,-14.262008124756246,-14.262728392120508,-14.263329168662429,-14.263830277655076,-14.264248253732667,-14.264596888468821,-14.264887685444467,-14.265130239820946,-14.265332554942738,-14.265501306416539,-14.265642062380097,-14.26575946722896,-14.265857394863348,-14.265939076511664,-14.266007207348418,-14.26606403542442,-14.266111435843584
